season,week,game_id,team,opponent,player_clean_key,market_spread,market_abs_spread,market_total,market_team_implied,market_opp_implied,market_moneyline,is_home,actual_pass_yards,pred_pass_yards,actual_attempts,pred_attempts,actual_ypa,pred_ypa,attempts_raw,ypa_contextual,m64_pass_raw_reference,m64_pass_raw_point_product,pred_point_product,pass_residual_actual_minus_pred,attempt_residual_actual_minus_pred,ypa_residual_actual_minus_pred,abs_pass_error,cat75,cat100,volume_yard_contribution,efficiency_yard_contribution,interaction_yard_contribution,mc_point_product_remainder,mechanism,recoverability,m64_pred_drives,m64_pred_plays_per_drive,m64_pred_dropback_rate_neutral,m64_pred_dropback_rate_gamescript,m64_pred_attempt_conversion,m64_pred_qb_attempt_share,m64_attempts_generative_neutral,m64_attempts_generative_gamescript,m64_pass_generative_neutral,m64_pass_generative_gamescript,m64_actual_team_drives,m64_actual_plays_per_drive,m64_actual_dropback_rate,m64_actual_attempt_conversion,m64_actual_team_pass_attempts,m64_actual_qb_attempt_share,m65_actual_neutral_share,m65_actual_trailing_share,m65_actual_leading_share,m65_actual_neutral_dropback_rate,m65_actual_trailing_dropback_rate,m65_actual_leading_dropback_rate,m65_pred_neutral_share,m65_pred_trailing_share,m65_pred_leading_share,m65_pred_neutral_dropback_rate,m65_pred_trailing_dropback_rate,m65_pred_leading_dropback_rate,m65_pred_dropback_rate,m65_attempts_state_ridge,m65_pass_state_ridge,opening_first15_dbr_mean8,opening_q1_dbr_mean8,playcaller_opening_first15_dbr_mean8,playcaller_opening_q1_dbr_mean8,playcaller_changed_since_last_game,playcaller_prior_games_allteams,playcaller_prior_games_team,playcaller_new_to_team,opp_coverage_man_rate,opp_coverage_zone_rate,opp_pressure_rate_generated,opp_def_pass_epa,opp_success_rate_def,opponent_force_pass,opp_explosive_play_rate_allowed,actual_drives,actual_scrimmage_plays,actual_plays_per_drive,actual_dropbacks,actual_pbp_pass_attempts,actual_dropback_rate,actual_attempt_conversion,actual_first10_dbr,actual_first15_dbr,actual_first_drive_dbr,actual_first2drives_dbr,actual_q1_dbr,actual_first_half_dbr,actual_first15_vs_rest_dbr,actual_neutral_share,actual_trailing8_share,actual_leading8_share,actual_neutral_dbr,actual_trailing8_dbr,actual_leading8_dbr,actual_rush_epa,actual_pass_epa,actual_rush_success,actual_pass_success,actual_sack_rate,actual_scramble_rate,actual_turnovers,realized_def_man_rate,realized_def_zone_rate,realized_def_box_mean,realized_def_heavy_box_rate,realized_def_light_box_rate,realized_def_pass_rushers_mean,realized_def_pressure_rate,realized_cover0_rate,realized_cover1_rate,realized_cover2_rate,realized_cover3_rate,realized_cover4_rate,realized_cover6_rate,trailing_share_surprise,leading_share_surprise,opening_baseline_playcaller,opening_deviation_vs_playcaller,opening_regime
2024,4,2024_04_WAS_ARI,ARI,WAS,kylermurray,3.5,3.5,49,22.75,26.25,-180,1,142,233.5701278,22,29.43417993,6.454545455,7.924384382,29.43417993,7.924384382,233.5701278,233.2477557,233.2477557,-91.57012782,-7.43417993,-1.469838927,91.57012782,True,False,-58.91129932,-43.26350345,10.92704705,-0.3223720978,other_volume_or_mixed,unresolved,10.25364583,6.497067365,0.5687750931,0.5977600547,0.9492730619,0.99,35.60923174,37.42388964,282.1812398,296.5612866,9,6.444444444,0.4655172414,0.962962963,26,0.8461538462,0.5172413793,0.4827586207,0,0.5333333333,0.3928571429,,0.7402027277,0.1295853907,0.1302118816,0.5877347379,0.6996642862,0.4275746018,0.5813844195,36.39866227,288.4369908,0.55,0.5409889936,0.55,0.5409889936,0,20,20,0,0.4665520222,0.5334479778,0.09025200621,0.3541016622,0.5225467952,1.043870564,0.05518922263,9,58,6.444444444,27,26,0.4655172414,0.962962963,0.4,0.4666666667,0.4444444444,0.4666666667,0.4666666667,0.5333333333,0.001550387597,0.5172413793,0.4827586207,0,0.5333333333,0.3928571429,,0.03230848057,-0.2328727708,0.5,0.4074074074,0.1481481481,0.03703703704,1,0.4074074074,0.5925925926,6.051724138,0.01724137931,0.8620689655,1.982758621,0.1206896552,0.03703703704,0.2962962963,0.4074074074,0.2592592593,0,0,0.35317323,-0.1302118816,0.55,-0.08333333333,near_caller_baseline
2024,4,2024_04_NO_ATL,ATL,NO,kirkcousins,2.5,2.5,41.5,19.5,22,-142,1,238,228.9253216,35,31.58606653,6.8,7.225153693,31.58606653,7.225153693,228.9253216,228.2141853,228.2141853,9.074678418,3.413933466,-0.425153693,9.074678418,False,False,24.66619399,-13.42893283,-1.451446421,-0.7111363145,other_volume_or_mixed,unresolved,10.94114583,5.658278781,0.6056333739,0.5994827644,0.957238015,0.9828571429,35.27502115,34.91677986,254.8674494,252.279101,9,5.666666667,0.7058823529,1,36,0.9722222222,1,0,0,0.7058823529,,,0.6794959717,0.2945379416,0.0259660867,0.6025148822,0.6983275104,0.4378075418,0.6264585314,36.4879792,263.6312577,0.5166666667,0.5405836853,0.4888888889,0.5254467754,0,3,3,0,0.6068365009,0.3931634991,0.1191899046,-0.1325126157,0.3753956701,0.4528054984,0.06515060317,9,51,5.666666667,36,36,0.7058823529,1,0.8,0.6666666667,0.75,0.7692307692,0.7692307692,0.7307692308,-0.05555555556,1,0,0,0.7058823529,,,0.1382493588,-0.02969990721,0.5333333333,0.3611111111,0.02777777778,0,1,0.5,0.5,5.941176471,0,0.9411764706,2.960784314,0.09803921569,0,0.4166666667,0.4722222222,0.1111111111,0,0,-0.2945379416,-0.0259660867,0.4888888889,0.1777777778,pass_heavier_than_caller
2024,4,2024_04_BUF_BAL,BAL,BUF,lamarjackson,2.5,2.5,46.5,22,24.5,-135,1,156,256.2112785,18,32.07411922,8.666666667,7.989769961,32.07411922,7.989769961,256.2112785,256.2648343,256.2648343,-100.2112785,-14.07411922,0.6768967052,100.2112785,True,True,-112.448975,21.71086562,-9.52672493,0.05355577743,leading_suppression,partially_in_game,10.8578125,5.857486402,0.6068171353,0.6160733518,0.9254675327,0.9862121212,35.22434986,35.76165211,281.4344524,285.7273738,11,4.909090909,0.3888888889,0.9523809524,20,0.9,0.1851851852,0,0.8148148148,0.5,,0.3636363636,0.5916883563,0.2815931692,0.1267184744,0.6196370899,0.718302131,0.450523558,0.6259906827,36.33733054,290.326912,0.5666666667,0.592726024,0.5666666667,0.592726024,0,20,20,0,0.3889384775,0.6110615225,0.1594600248,-0.2165823036,0.4005315822,0.4534751963,0.03940322088,11,54,4.909090909,21,20,0.3888888889,0.9523809524,0.5,0.6,0,0.5,0.4444444444,0.5185185185,0.2923076923,0.1851851852,0,0.8148148148,0.5,,0.3636363636,0.2376878629,0.3849513914,0.5,0.5238095238,0.04761904762,0.04761904762,1,0.35,0.65,6.555555556,0.1481481481,0.5740740741,1.592592593,0.1481481481,0.05,0.3,0.15,0.3,0.2,0,-0.2815931692,0.6880963404,0.5666666667,0.03333333333,near_caller_baseline
2024,4,2024_04_BUF_BAL,BUF,BAL,joshallen,-2.5,2.5,46.5,24.5,22,114,0,180,218.4550234,29,28.41197606,6.206896552,7.716109657,28.41197606,7.716109657,218.4550234,219.2299229,219.2299229,-38.45502343,0.5880239376,-1.509213105,38.45502343,False,False,4.537257183,-42.87972661,-0.8874534325,0.7748994284,ypa_collapse,separate_efficiency_problem,10.8578125,5.887288429,0.5891420037,0.5645005696,0.9415948095,0.987311828,35.01031627,33.54597593,270.1434395,258.8444288,11,5.181818182,0.6315789474,0.9444444444,34,0.8529411765,0.298245614,0.701754386,0,0.5882352941,0.65,,0.5733112684,0.2402330988,0.1864556327,0.5866815551,0.6930424204,0.4476556716,0.5863107963,34.84206911,268.8452259,0.55,0.5731376263,0.55,0.5731376263,0,10,10,0,0.5271539006,0.4728460994,0.1640490655,-0.003790921575,0.4088923526,0.6975905448,0.07977430757,11,57,5.181818182,36,34,0.6315789474,0.9444444444,0.6,0.6,0.5714285714,0.5882352941,0.5882352941,0.6551724138,-0.04285714286,0.298245614,0.701754386,0,0.5882352941,0.65,,0.02557902466,-0.2548285804,0.4347826087,0.2777777778,0.08333333333,0.05555555556,1,0.5945945946,0.4054054054,6.087719298,0.0701754386,0.7543859649,2.701754386,0.1754385965,0.02702702703,0.4594594595,0.1351351351,0.1621621622,0.1081081081,0.1081081081,0.4615212871,-0.1864556327,0.55,0.05,near_caller_baseline
2024,4,2024_04_CIN_CAR,CIN,CAR,joeburrow,4.5,4.5,47,21.25,25.75,-205,0,232,221.4200421,31,31.70096702,7.483870968,6.986920549,31.70096702,6.986920549,221.4200421,221.4921379,221.4921379,10.57995795,-0.7009670204,0.4969504191,10.57995795,False,False,-4.897600879,15.75380885,-0.3483458545,0.07209583473,ypa_explosion,separate_efficiency_problem,10.71197917,5.8465796,0.581084722,0.6224830725,0.9521362032,0.9523655914,32.99999075,35.35101656,230.5683135,246.9947441,10,6.2,0.5161290323,0.96875,31,1,0.7419354839,0,0.2580645161,0.5217391304,,0.5,0.5895080144,0.2186587799,0.1918332057,0.5752664442,0.7502067139,0.4327659376,0.5861823411,33.2894862,232.5909952,0.6166666667,0.5983081703,0.6166666667,0.5983081703,0,20,20,0,0.4193208166,0.5806791834,0.1129574573,0.1119053695,0.4446317934,0.8278729089,0.04283632825,10,62,6.2,32,31,0.5161290323,0.96875,0.7,0.6666666667,0.75,0.6153846154,0.6153846154,0.76,0.1985815603,0.7419354839,0,0.2580645161,0.5217391304,,0.5,0.04436619623,0.3042999039,0.3548387097,0.53125,0,0.03125,1,0.71875,0.28125,6.548387097,0.1612903226,0.5161290323,2.225806452,0.06451612903,0,0.5625,0.28125,0.15625,0,0,-0.2186587799,0.06623131045,0.6166666667,0.05,near_caller_baseline
2024,4,2024_04_CLE_LV,CLE,LV,deshaunwatson,2.5,2.5,36.5,17,19.5,-135,0,176,199.4409931,32,34.47376637,5.5,5.798667717,34.47376637,5.798667717,199.4409931,199.9019161,199.9019161,-23.44099308,-2.473766368,-0.2986677171,23.44099308,False,False,-14.34454918,-10.2962011,0.7388341539,0.4609230484,other_volume_or_mixed,unresolved,12.00364583,5.441349111,0.6181221594,0.6167504589,0.9526669301,0.9155469755,35.21403561,35.13589068,204.1944915,203.741355,9,6.333333333,0.7368421053,0.8333333333,35,0.9142857143,0.9122807018,0.08771929825,0,0.7307692308,0.8,,0.5404299884,0.2853200337,0.1742499779,0.6198891299,0.7250849473,0.4441071835,0.6192736038,35.27963268,204.5748671,0.65,0.6620872731,0.65,0.6620872731,0,20,20,0,0.4781617856,0.5218382144,0.1401395169,0.06548855866,0.4213759196,0.8636941641,0.06268003694,9,57,6.333333333,42,35,0.7368421053,0.8333333333,0.7,0.6,0.6,0.6,0.6,0.6666666667,-0.1857142857,0.9122807018,0.08771929825,0,0.7307692308,0.8,,0.009066310692,-0.17062769,0.3636363636,0.380952381,0.07142857143,0.1666666667,1,0.2619047619,0.7380952381,6.105263158,0.0350877193,0.7894736842,3.192982456,0.2807017544,0.02380952381,0.09523809524,0.5476190476,0.07142857143,0.07142857143,0.119047619,-0.1976007355,-0.1742499779,0.65,-0.05,near_caller_baseline
2024,4,2024_04_DAL_NYG,DAL,NYG,dakprescott,5.5,5.5,45,19.75,25.25,-250,0,221,264.0333576,27,36.92538911,8.185185185,7.189940372,36.92538911,7.189940372,264.0333576,265.4913459,265.4913459,-43.03335757,-9.925389105,0.9952448133,43.03335757,False,False,-71.36295583,36.74980199,-9.878192028,1.4579883,other_volume_or_mixed,unresolved,10.7953125,6.100577917,0.6185838006,0.6384449134,0.9613145215,0.9757142857,38.21139615,39.43826444,274.7376598,283.5587697,9,5.666666667,0.5490196078,1,28,0.9642857143,1,0,0,0.5490196078,,,0.652633402,0.1751647167,0.1722018813,0.5956151457,0.7265231973,0.4987704456,0.6018687779,37.17886935,267.3138537,0.5916666667,0.610278286,0.5916666667,0.610278286,0,20,20,0,0.5292673073,0.4707326927,0.1689300704,-0.04267790404,0.4325767499,0.7621954399,0.05357292595,9,51,5.666666667,28,28,0.5490196078,1,0.6,0.6666666667,0.3333333333,0.6666666667,0.6666666667,0.68,0.1666666667,1,0,0,0.5490196078,,,-0.02419696706,0.3911529103,0.4347826087,0.6071428571,0.03571428571,0,0,0.4285714286,0.5714285714,5.921568627,0.03921568627,0.8039215686,2.294117647,0.1960784314,0,0.3928571429,0.3214285714,0.2857142857,0,0,-0.1751647167,-0.1722018813,0.5916666667,0.075,near_caller_baseline
2024,4,2024_04_DEN_NYJ,DEN,NYJ,bonix,-7.5,7.5,39.5,23.5,16,330,0,60,200.4469368,25,31.3596416,2.4,6.401929728,31.3596416,6.401929728,200.4469368,200.7622218,200.7622218,-140.4469368,-6.359641597,-4.001929728,140.4469368,True,True,-40.7139786,-125.499082,25.45083877,0.3152849635,ypa_collapse,separate_efficiency_problem,11.46197917,5.420807456,0.6076650596,0.5567084917,0.9561628641,0.9828571429,35.48216673,32.50676209,227.154338,208.1060066,13,4.307692308,0.4642857143,0.9615384615,25,1,1,0,0,0.4642857143,,,0.6030726937,0.2062318286,0.1906954777,0.5985469135,0.7272181169,0.4652245059,0.5996590308,35.01468676,224.1615641,0.5416666667,0.5517264598,0.5416666667,0.5517264598,0,20,20,0,0.5513766063,0.4486233937,0.1930576206,-0.2373799571,0.3519393551,0.5402036614,0.04795246848,13,56,4.307692308,26,25,0.4642857143,0.9615384615,0.7,0.7333333333,1,0.8333333333,0.75,0.64,0.3674796748,1,0,0,0.4642857143,,,0.0134566014,-0.6249625085,0.4516129032,0.1153846154,0,0.03846153846,1,0.4230769231,0.5769230769,5.803571429,0,0.75,2.053571429,0.08928571429,0.03846153846,0.3076923077,0.2307692308,0.1153846154,0.03846153846,0.1538461538,-0.2062318286,-0.1906954777,0.5416666667,0.1916666667,pass_heavier_than_caller
2024,4,2024_04_SEA_DET,DET,SEA,jaredgoff,3.5,3.5,46.5,21.5,25,-185,1,292,265.3972608,18,33.77600646,16.22222222,7.855287365,33.77600646,7.855287365,265.3972608,265.3202368,265.3202368,26.60273918,-15.77600646,8.366934857,26.60273918,False,False,-123.9250642,282.6016457,-131.9968183,-0.07702405105,ypa_explosion,separate_efficiency_problem,10.87864583,6.044563908,0.5673104472,0.6038078864,0.9570963129,0.9861309524,35.20876782,37.47389421,276.574989,294.3682077,11,4.545454545,0.44,1,22,0.8181818182,0.64,0,0.36,0.46875,,0.3888888889,0.6302248714,0.2667613319,0.1030137967,0.5610109535,0.7233309385,0.4499687931,0.5928727744,36.7952326,289.0371258,0.5333333333,0.5154823118,0.5333333333,0.5154823118,0,20,20,0,0.504623756,0.495376244,0.2014603858,-0.008880609462,0.4060156612,0.8213858807,0.05562334378,11,50,4.545454545,22,22,0.44,1,0.5,0.4,0.6666666667,0.4,0.4117647059,0.4666666667,-0.05714285714,0.64,0,0.36,0.46875,,0.3888888889,0.08384021,0.8919328863,0.4285714286,0.6818181818,0.1363636364,0,0,0.5,0.5,6.2,0.06,0.62,2,0.12,0.09090909091,0.4090909091,0.1363636364,0.2272727273,0.1363636364,0,-0.2667613319,0.2569862033,0.5333333333,-0.1333333333,run_heavier_than_caller
2024,4,2024_04_MIN_GB,GB,MIN,jordanlove,2.5,2.5,44,20.75,23.25,-135,1,389,203.9356173,54,29.05402703,7.203703704,6.986612123,29.05402703,6.986612123,203.9356173,202.9892174,202.9892174,185.0643827,24.94597297,0.2170915802,185.0643827,True,True,174.2878372,6.307384639,5.415560694,-0.9463998218,forced_trailing_volume,partially_in_game,10.56614583,6.136734122,0.5881642595,0.6104757888,0.9608806815,0.9851680672,36.10208854,37.47159169,252.2312895,261.7994768,15,5,0.76,0.9824561404,56,0.9642857143,0.12,0.88,0,0.4444444444,0.803030303,,0.7626554619,0.1277376137,0.1096069244,0.5760188854,0.7303839844,0.4706820334,0.5841914664,35.85823468,250.5275771,0.4583333333,0.4579503507,0.4583333333,0.4579503507,0,20,20,0,0.2786855483,0.7213144517,0.1528702843,-0.0008791803598,0.4074946116,0.7646292476,0.05484557964,15,75,5,57,56,0.76,0.9824561404,0.4,0.5333333333,0.4444444444,0.5,0.5,0.7222222222,-0.2833333333,0.12,0.88,0,0.4444444444,0.803030303,,-0.0150957314,-0.1313692155,0.3157894737,0.4385964912,0.01754385965,0.01754385965,4,0.2280701754,0.7719298246,6.453333333,0.02666666667,0.4933333333,3.333333333,0.2,0.01754385965,0.1052631579,0.3157894737,0.1578947368,0.01754385965,0.1929824561,0.7522623863,-0.1096069244,0.4583333333,0.075,near_caller_baseline
