season,week,team,opponent,player_clean_key,actual_pass_yards,actual_attempts,pred_pass_yards,pred_attempts,pred_ypa,actual_qb_attempt_share,actual_ypa,implied_pred_ypa,det_pass_yards
2024,1,ARI,BUF,kylermurray,162,31,227.0871284,33.36272397,6.843794522,1,5.225806452,6.806612331,228.3276276
2024,1,ATL,PIT,kirkcousins,155,26,234.1259933,32.4534914,7.22084872,1,5.961538462,7.214200484,234.3417518
2024,1,BAL,KC,lamarjackson,273,41,230.3038521,29.56273884,7.786839095,1,6.658536585,7.790342206,230.2002906
2024,1,BUF,ARI,joshallen,232,23,234.7414912,32.13381892,7.317914932,1,10.08695652,7.305122739,235.1525533
2024,1,CAR,NO,bryceyoung,161,30,201.3662276,33.48815701,6.008900147,0.9677419355,5.366666667,6.013057915,201.2269916
2024,1,CHI,TEN,calebwilliams,93,29,204.5139097,29.68579721,6.870868496,1,3.206896552,6.889284738,203.9672089
2024,1,CIN,NE,joeburrow,164,29,183.3663991,28.23480787,6.476047294,1,5.655172414,6.494338474,182.8499511
2024,1,CLE,DAL,deshaunwatson,169,45,172.4564668,27.48333333,6.311069787,1,3.755555556,6.274947247,173.4492346
2024,1,DAL,CLE,dakprescott,179,32,245.6487573,33.18612643,7.359535781,1,5.59375,7.402152155,244.2344849
2024,1,DEN,SEA,bonix,138,42,201.9986589,29.46678743,6.870868496,1,3.285714286,6.855130012,202.4624215
2024,1,DET,LAR,jaredgoff,217,28,259.1964923,35.30076392,7.376325665,1,7.75,7.342517937,260.3899309
2024,1,GB,PHI,jordanlove,260,34,232.0303599,32.5810309,7.115323914,0.9714285714,7.647058824,7.121639599,231.8245883
2024,1,HOU,IND,cjstroud,234,32,245.0650906,31.8889977,7.671596869,1,7.3125,7.684941777,244.6395349
2024,1,IND,HOU,anthonyrichardson,212,19,166.1378626,24.05120355,6.901890467,1,11.15789474,6.90767355,165.9987725
2024,1,JAX,MIA,trevorlawrence,162,21,209.4738228,30.32867567,6.946153643,1,7.714285714,6.906790955,210.667641
2024,1,KC,BAL,patrickmahomes,291,28,220.8612439,31.55603145,6.986877052,1,10.39285714,6.999018373,220.478112
2024,1,LAC,LV,justinherbert,144,26,199.0540024,29.13723081,6.822316248,1,5.538461538,6.83160331,198.7834032
2024,1,LAR,DET,matthewstafford,317,49,248.3920894,33.6854611,7.402079677,1,6.469387755,7.373866389,249.342467
2024,1,LV,LAC,gardnerminshew,257,33,220.868458,32.48442822,6.808833565,1,7.787878788,6.799210271,221.1810652
2024,1,MIA,JAX,tuatagovailoa,338,37,251.1530404,32.13823853,7.804932046,1,9.135135135,7.814773052,250.8367678
2024,1,MIN,NYG,samdarnold,208,24,130.2494515,23.27872673,5.597194923,1,8.666666667,5.595213732,130.2955711
2024,1,NE,CIN,jacobybrissett,121,24,175.3296616,22.80636973,7.664689833,1,5.041666667,7.68774968,174.8037502
2024,1,NO,CAR,derekcarr,200,23,242.1634404,34.11479337,7.072725026,0.9583333333,8.695652174,7.098487679,241.2845528
2024,1,NYG,MIN,danieljones,186,42,136.6009742,22.5095804,6.049565698,1,4.428571429,6.068570438,136.1731855
2024,1,PHI,GB,jalenhurts,278,34,194.8889609,27.86836463,7.012686331,1,8.176470588,6.993196892,195.4320997
