season,week,team,inactive_tokens,inactive_count
2024,1,ARI,darrenhall:DB:1|jesseluketa:LB:1|jongaines:OL:1|travisvokolek:TE:1|xavierweaver:WR:1,5
2024,1,ATL,antoniohamilton:CB:1|brandondorlus:DL:1|caseywashington:WR:1|jasemcclellan:RB:1|jovaughngwyn:OL:1|rukeorhorhoro:DL:1,6
2024,1,BAL,adisaisaac:LB:1|beaubrade:S:1|brenturban:DE:1|devontezwalker:WR:1|malaesalaaumavaelaulu:G:1|nicksamac:C:1|tjtampa:CB:1,7
2024,1,BUF,colebishop:S:1|dawuanesmoot:DE:1|edefuanulofoshio:LB:1|javonsolomon:DE:1|joeandreessen:LB:1|ryanvandemark:T:1|sedrickvanprangranger:C:1,7
2024,1,CAR,andrewraym:C:1|jammierobinson:S:1|jarrettkingston:G:1|labryanray:DE:1|messiahswinson:TE:1|shemarbartholomew:CB:1|tommytremble:TE:1,7
2024,1,CHI,billmurray:OL:1|dominiquerobinson:DL:1|kiranamegadjie:OL:1|noahsewell:LB:1|roschonjohnson:RB:1|tylerscott:WR:1|zacchpickens:DL:1,7
2024,1,CIN,amariusmims:OT:1|cedricjohnson:DE:1|kendricpryor:WR:1|krisjenkins:DT:1|tannermclachlan:TE:1|teehiggins:WR:1,6
2024,1,CLE,dorianthompsonrobinson:QB:1|isaiahmcguire:DE:1|jackconklin:T:1|javioncohen:G:1|jedrickwills:T:1|kahlefhailassie:CB:1|mylesharden:CB:1,7
2024,1,DAL,andrewbooth:CB:1|buddyjohnson:LB:1|johnstephens:TE:1|mattwaletzko:T:1|ryanflournoy:WR:1|treylance:QB:1,6
2024,1,DEN,blakewatson:RB:1|eyiomauwazurike:DL:1|frankcrum:T:1|krisabramsdraine:CB:1|lucaskrull:TE:1|troyfranklin:WR:1|zachwilson:QB:1,7
2024,1,DET,colbysorsdal:OL:1|djreader:DL:1|giovannimanu:OL:1|ifeatumelifonwu:S:1|jameshouston:LB:1|lorenstrickland:S:1,6
2024,1,GB,arronmosby:DL:1|brentoncox:DL:1|kadeemtelfort:OT:1|malikheath:WR:1|marshawnlloyd:RB:1|travisglover:OT:1,6
2024,1,HOU,camakers:RB:1|jamalhill:LB:1|johnmetchie:WR:1|mjstewart:S:1|nickbroeker:G:1,5
2024,1,IND,blakefreeland:OT:1|dallisflowers:CB:1|joshdowns:WR:1|mattgay:K:1|samehlinger:QB:1|tanorbortolini:OG:1|willmallory:TE:1,7
2024,1,JAX,colevanlanen:OL:1|danielthomas:S:1|eseziotomewo:DT:1|javonfoster:OL:1|jeremiahledbetter:DT:1|jordanjefferson:DT:1,6
2024,1,KC,cjhanson:OL:1|ethandriskell:OT:1|marlontuipulotu:DL:1|marquisebrown:WR:1|peytonhendershot:TE:1,5
2024,1,LAC,brendenrice:WR:1|jordanmcfadden:OL:1|justineboigbe:DL:1|kimanividal:RB:1|tarheebstill:CB:1|taylorheinicke:QB:1,6
2024,1,LAR,brennanjackson:DE:1|codyschrader:RB:1|desjuanjohnson:DE:1|eliasneal:LB:1|robhavenstein:RT:1,5
2024,1,LV,decamerionrichardson:CB:1|dylanlaube:RB:1|jacksonpowersjohnson:OG:1|ramelkeyton:WR:1|thomasharper:S:1|tommyeichenberg:LB:1,6
2024,1,MIA,andrewmeyer:OL:1|channingtindall:LB:1|ethanbonner:CB:1|jaylenwright:RB:1|malikwashington:WR:1|mohamedkamara:LB:1,6
2024,1,MIN,brettrypien:QB:1|dwightmcglothern:DB:1|fabianmoreau:CB:1|jalenredmond:DT:1|levidrakerodriguez:DT:1|trishtonjackson:WR:1|walterrouse:OT:1,7
2024,1,NE,curtisjacobs:LB:1|demontreyjacobs:T:1|ericjohnson:DT:1|javonbaker:WR:1|joemilton:QB:1|sidysow:G:1|zacharythomas:T:0,7
2024,1,NO,atperry:WR:1|dallinholker:TE:1|dmarcojackson:LB:1|jaylanford:LB:1|johnridgeway:DT:1|khalensaunders:DT:1|spencerrattler:QB:1,7
2024,1,NYG,anthonyjohnson:S:1|boogiebasham:OLB:0|jakekubas:OL:1|tommydevito:QB:1|trehawkins:CB:1,5
2024,1,NYJ,brendenbates:TE:1|carterwarren:OL:1|ericwatts:DL:1|israelabanikanda:RB:1|jarrickbernardconverse:CB:1|leonardtaylor:DL:1|maxmitchell:OL:1,7
2024,1,PHI,byronyoung:DL:1|dariankinnard:OL:1|devinwhite:LB:1|isaiahrodgers:CB:1|tannermckee:QB:1|trevorkeegan:OL:1,6
2024,1,PIT,deanlowry:DL:1|isaacseumalo:OG:1|jalenelliott:S:1|romanwilson:WR:1|russellwilson:QB:1,5
2024,1,SEA,artieburns:CB:1|jalensundell:C:1|michaeljerrell:T:1|mylesadams:DE:1|pharaohbrown:TE:1|sataoalaumea:G:1|uchennanwosu:LB:1,7
2024,1,SF,benbartch:OL:1|christianmccaffrey:RB:1|darrellluter:CB:1|deewinters:LB:1|joshuadobbs:QB:1|talanoahufanga:S:1|yeturgrossmatos:DL:1,7
2024,1,TB,calijahkancey:DC:1|devinculp:TE:1|joseramirez:LB:1|kaevonmerriweather:S:1|loganhall:DL:1|roycenewman:G:1|tyrekfunderburk:CB:1,7
2024,1,TEN,aligaye:LB:1|davidmartinrobinson:TE:1|jamaladams:S:1|johnojukwu:OL:1|otisreese:LB:1|thomasodukoya:TE:1,6
2024,1,WAS,chrispaul:G:1|darrickforrest:S:1|dominiquehampton:LB:1|jerzhannewton:DT:1|noahbrown:WR:1|samhartman:QB:1,6
2024,2,ARI,dantestills:DL:1|darrenhall:CB:1|jesseluketa:LB:1|jongaines:OL:1|travisvokolek:TE:1|xavierweaver:WR:1,6
2024,2,ATL,antoniohamilton:CB:1|brandondorlus:DL:1|brandonparker:OT:1|jasemcclellan:RB:1|jovaughngwyn:G:1|rukeorhorhoro:DL:1,6
2024,2,BAL,adisaisaac:OLB:1|beaubrade:FS:1|devontezwalker:WR:1|natewiggins:CB:1|nicksamac:C:1|salaaumavaelaulu:G:0|tjtampa:CB:1,7
2024,2,BUF,dawuanesmoot:DE:1|edefuanulofoshio:MLB:1|javonsolomon:DE:1|joeandreessen:OLB:1|ryanvandemark:OT:1|taronjohnson:CB:1,6
2024,2,CAR,andrewraym:C:1|chausmithwade:CB:1|jarrettkingston:G:1|messiahswinson:TE:1|mikeboone:RB:1|shemarbartholomew:CB:1,6
2024,2,CHI,dominiquerobinson:DL:1|keenanallen:WR:1|khariblasingame:FB:1|kiranamegadjie:OL:1|noahsewell:LB:1|velusjones:WR:1,6
2024,2,CIN,amariusmims:OT:1|cedricjohnson:DE:1|krisjenkins:DT:1|tannermclachlan:TE:1|teehiggins:WR:1,5
2024,2,CLE,davidnjoku:TE:1|dorianthompsonrobinson:QB:1|jackconklin:T:1|jamarithrash:WR:1|javioncohen:G:1|jedrickwills:T:1|kahlefhailassie:CB:1,7
2024,2,DAL,andrewbooth:CB:1|buddyjohnson:LB:1|jakeferguson:TE:1|johnstephens:TE:1|mattwaletzko:OT:1|ryanflournoy:WR:1|treylance:QB:1,7
2024,2,DEN,blakewatson:RB:1|devaughvele:WR:0|eyiomauwazurike:DL:1|frankcrum:OT:1|krisabramsdraine:CB:1|lucaskrull:TE:1|zachwilson:QB:1,7
