player,team,opponent,line,over_odds,under_odds,book
Patrick Mahomes,KC,DEN,225.5,-114,-114,FANDUEL
Bo Nix,DEN,KC,227.5,-114,-114,FANDUEL
Dak Prescott,DAL,NYG,260.5,-114,-114,FANDUEL
Jaxson Dart,NYG,DAL,217.5,-114,-114,FANDUEL
Kirk Cousins,LV,MIA,215.5,-114,-114,FANDUEL
Malik Willis,MIA,LV,184.5,-114,-114,FANDUEL
Jacoby Brissett,ARI,LAC,221.5,-114,-114,FANDUEL
Justin Herbert,LAC,ARI,233.5,-114,-114,FANDUEL
Jalen Hurts,PHI,WAS,214.5,-114,-114,FANDUEL
Jayden Daniels,WAS,PHI,205.5,-114,-114,FANDUEL
Jordan Love,GB,MIN,238.5,-114,-114,FANDUEL
Kyler Murray,MIN,GB,221.5,-114,-114,FANDUEL
Trevor Lawrence,JAX,CLE,238.5,-114,-114,FANDUEL
Deshaun Watson,CLE,JAX,178.5,-114,-114,FANDUEL
Cam Ward,TEN,NYJ,201.5,-114,-114,FANDUEL
Geno Smith,NYJ,TEN,212.5,-114,-114,FANDUEL
Bryce Young,CAR,CHI,208.5,-114,-114,FANDUEL
Caleb Williams,CHI,CAR,226.5,-114,-114,FANDUEL
Lamar Jackson,BAL,IND,220.5,-114,-114,FANDUEL
Daniel Jones,IND,BAL,233.5,-114,-114,FANDUEL
Aaron Rodgers,PIT,ATL,210.5,-114,-114,FANDUEL
Tyler Shough,NO,DET,246.5,-114,-114,FANDUEL
Jared Goff,DET,NO,261.5,-114,-114,FANDUEL
Baker Mayfield,TB,CIN,232.5,-114,-114,FANDUEL
Joe Burrow,CIN,TB,267.5,-114,-114,FANDUEL
CJ Stroud,HOU,BUF,218.5,-114,-114,FANDUEL
Josh Allen,BUF,HOU,220.5,-114,-114,FANDUEL
Brock Purdy,SF,LAR,245.5,-114,-114,FANDUEL
Matthew Stafford,LAR,SF,265.5,-114,-114,FANDUEL
Sam Darnold,SEA,NE,228.5,-114,-114,FANDUEL
Drake Maye,NE,SEA,232.5,-114,-114,FANDUEL
