player_source_name,full_name,reason,verified_source,verified_date
Amon-Ra Brown,Amon-Ra St. Brown,Ourlads parser drops compound surname particle from the raw provider string St. Brown Amon-Ra,https://www.ourlads.com/nfldepthcharts/depthchart/DET,2026-09-07
Zonovan Knight,Bam Knight,Arizona Cardinals identifies Bam as Zonovan Knight's nickname and current roster lists him as Bam Knight,https://www.azcardinals.com/news/zonovan-knight-having-a-bam-good-time-in-cardinals-backfield,2026-09-11
Marvin Harrison,Marvin Harrison Jr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Michael Penix,Michael Penix Jr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Jimmy Horn,Jimmy Horn Jr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
John Metchie,John Metchie III,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Luther Burden,Luther Burden III,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Harold Fannin,Harold Fannin Jr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Marvin Mims,Marvin Mims Jr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Chris Rodriguez,Chris Rodriguez Jr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Lequint Allen,LeQuint Allen Jr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Brian Thomas,Brian Thomas Jr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Kenneth Walker,Kenneth Walker III,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Oronde Gadsden,Oronde Gadsden II,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Ollie Gordon,Ollie Gordon II,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Efton Chism,Efton Chism III,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Kevin Austin,Kevin Austin Jr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Tyrone Tracy,Tyrone Tracy Jr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Deebo Samuel,Deebo Samuel Sr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
Chris Godwin,Chris Godwin Jr.,"Ourlads roster feed drops generational-suffix from raw provider string; nflverse player_game_logs.csv retains the suffix, so the unpatched identity key silently disconnects all prior-game history for this player",nflverse player_game_logs.csv (nflverse-data canonical NFL player names),2026-09-14
