season,week,team,scope_state,injury_rows,page_team_label_found,no_injuries_reported_marker,source,checked_at_utc
2026,2,ARI,OFFICIAL_REPORT_ROWS,12,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,ATL,OFFICIAL_REPORT_ROWS,11,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,BAL,OFFICIAL_REPORT_ROWS,11,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,BUF,OFFICIAL_REPORT_ROWS,6,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,CAR,OFFICIAL_REPORT_ROWS,4,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,CHI,OFFICIAL_REPORT_ROWS,10,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,CIN,OFFICIAL_REPORT_ROWS,7,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,CLE,OFFICIAL_REPORT_ROWS,9,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,DAL,OFFICIAL_REPORT_ROWS,4,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,DEN,OFFICIAL_REPORT_ROWS,4,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,DET,OFFICIAL_REPORT_ROWS,5,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,GB,OFFICIAL_REPORT_ROWS,10,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,HOU,OFFICIAL_REPORT_ROWS,9,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,IND,OFFICIAL_REPORT_ROWS,11,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,JAX,OFFICIAL_REPORT_ROWS,6,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,KC,OFFICIAL_REPORT_ROWS,9,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,LAC,OFFICIAL_REPORT_ROWS,10,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,LAR,OFFICIAL_REPORT_ROWS,11,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,LV,OFFICIAL_REPORT_ROWS,4,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,MIA,OFFICIAL_REPORT_ROWS,6,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,MIN,OFFICIAL_REPORT_ROWS,7,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,NE,OFFICIAL_REPORT_ROWS,6,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,NO,OFFICIAL_REPORT_ROWS,10,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,NYG,OFFICIAL_REPORT_ROWS,7,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,NYJ,OFFICIAL_REPORT_ROWS,9,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,PHI,OFFICIAL_REPORT_ROWS,6,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,PIT,OFFICIAL_REPORT_ROWS,5,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,SEA,OFFICIAL_REPORT_ROWS,8,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,SF,OFFICIAL_REPORT_ROWS,12,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,TB,OFFICIAL_REPORT_ROWS,7,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,TEN,OFFICIAL_REPORT_ROWS,3,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
2026,2,WAS,OFFICIAL_REPORT_ROWS,12,1,0,nfl.com,2026-09-23T03:57:59.763934+00:00
