cut,market,n,win_rate,roi_per_unit,n_2024,roi_2024,n_2025,roi_2025,validated_both_seasons_positive,signal,prob_edge_q,side
market_only,receptions,5712,0.5365896358543417,-0.013498930284544856,2868,-0.029113556577113918,2844,0.0022474650062737425,False,,,
market_only,rec_yards,5863,0.5125362442435614,-0.03498289081089459,3025,-0.06005123511089014,2838,-0.008262756382604779,False,,,
market_only,rush_yards,2772,0.5093795093795094,-0.03597050909443999,1433,-0.061749740716429136,1339,-0.008381533056866852,False,,,
market_only,rush_rec_yards,2626,0.5057121096725057,-0.05212718918835986,1938,-0.0669338879701173,688,-0.01041878477114186,False,,,
market_x_signal,receptions,5367,0.5407117570337246,-0.005507709676391628,2688,-0.023834619494789783,2679,0.012880768708025781,False,STRONG_EDGE,,
market_x_signal,rush_yards,2461,0.514831369362048,-0.024694441611952642,1273,-0.05804785616982357,1188,0.01104537045216325,False,STRONG_EDGE,,
market_x_signal,rec_yards,5361,0.5155754523409811,-0.02919314351580234,2759,-0.05774248740470746,2602,0.0010788164340397952,False,STRONG_EDGE,,
market_x_signal,rush_rec_yards,2481,0.5074566706972995,-0.048750865266167495,1808,-0.06707610190415932,673,0.0004794881387199115,False,STRONG_EDGE,,
market_x_signal,receptions,167,0.5149700598802395,-0.05955547470935419,83,-0.045694417096370316,84,-0.07325151973170732,False,NO_EDGE,,
market_x_signal,rec_yards,269,0.49814126394052044,-0.06220371903159835,145,-0.003508116071834209,124,-0.13083970636358064,False,NO_EDGE,,
market_x_signal,rush_rec_yards,58,0.4827586206896552,-0.09599160604250165,51,-0.0824927155523467,7,-0.19434066532791608,False,LEAN_EDGE,,
market_x_signal,rush_yards,152,0.48026315789473684,-0.1022104221650456,86,-0.06960111004600385,66,-0.14470134401713028,False,NO_EDGE,,
market_x_signal,rush_rec_yards,87,0.47126436781609193,-0.11916768888283132,79,-0.05363486266072947,8,-0.7663043478260869,False,NO_EDGE,,
market_x_signal,rec_yards,233,0.4592274678111588,-0.13677015457750522,121,-0.18045278206974216,112,-0.08957731594749929,False,LEAN_EDGE,,
market_x_signal,rush_yards,159,0.4528301886792453,-0.14717764926846078,74,-0.11630759565542174,85,-0.1740527547668712,False,LEAN_EDGE,,
