market,quartile,n,component_sd_median,empirical_resid_sd,undersize_ratio,strong_rate
pass_yards,ALL,812,18.69680941546177,74.72234898668918,0.2502170992883584,0.8879310344827587
pass_yards,Q1,203,7.955994609084993,78.29030210644142,0.10162171297114467,0.9655172413793104
pass_yards,Q2,203,15.120923517543035,79.06431522042678,0.19124839664248994,0.9211822660098522
pass_yards,Q3,203,22.23189050468934,68.9122392208175,0.32261163990696984,0.8423645320197044
pass_yards,Q4,203,33.582471884547,72.49559585857891,0.4632346487648456,0.8226600985221675
rec_yards,ALL,5853,7.292447705186311,28.473018793224284,0.25611782713119596,0.9149154279856484
rec_yards,Q1,1464,3.4297824801508403,23.29413324399643,0.1472380381886411,0.9330601092896175
rec_yards,Q2,1463,5.853231642374598,26.137451086492053,0.22394041496263473,0.9159261790840738
rec_yards,Q3,1463,9.292038434185404,29.58832105419108,0.3140441263012867,0.9145591250854409
rec_yards,Q4,1463,14.6125948608472,32.98225683954421,0.4430441170819872,0.8961038961038961
receptions,ALL,5702,0.6926766920103575,2.0755591292605216,0.3337301656431941,0.9380918975797966
receptions,Q1,1426,0.3472254184952865,1.9346176788622993,0.1794801227596975,0.9431977559607293
receptions,Q2,1425,0.5910239057451845,1.8980441365109255,0.31138575461771534,0.9340350877192982
receptions,Q3,1425,0.8170643871314843,2.0351656500693514,0.4014731612159637,0.9403508771929825
receptions,Q4,1426,1.188800687376624,2.3022285136926017,0.516369543816429,0.9347826086956522
rush_rec_yards,ALL,2591,12.566213627356866,39.15375465632406,0.3209453023766953,0.944808954071787
rush_rec_yards,Q1,648,5.624010704663036,33.97898116611124,0.16551440071640858,0.9506172839506173
rush_rec_yards,Q2,648,10.558757115115304,35.87390778796076,0.2943297166710901,0.9212962962962963
rush_rec_yards,Q3,647,14.673110215116951,41.2087505844815,0.35606782557107153,0.9474497681607419
rush_rec_yards,Q4,648,21.05324538622986,41.564104157767616,0.506524699926568,0.9598765432098766
rush_yards,ALL,2757,8.594448524920338,28.93612320011773,0.2970145124653523,0.8882843670656511
rush_yards,Q1,690,3.243403687345948,18.523074309249637,0.17510072211535263,0.9043478260869565
rush_yards,Q2,689,6.476023459698022,23.7195940839758,0.2730242109865201,0.872278664731495
rush_yards,Q3,689,10.99605405801938,33.6395713482534,0.3268785426598579,0.8984034833091437
rush_yards,Q4,689,17.240821135662227,35.29376374970802,0.4884948303595095,0.8780841799709724
