model_p_bin,rows,mean_model_p,mean_market_novig_p,realized_win_rate,mean_predicted_ev,realized_roi
"(-0.001000001, 0.55]",2179,0.5117976135842129,0.4748247379505248,0.4690224873795319,0.03684362101808079,-0.08020422745613795
"(0.55, 0.6]",1904,0.5756588760504201,0.4965246820053254,0.523109243697479,0.09361979232277824,-0.009265355598811397
"(0.6, 0.65]",2023,0.6253969352446862,0.49779920833808844,0.5096391497775581,0.18678933599961473,-0.036701251596463993
"(0.65, 0.7]",1949,0.6757657773217034,0.5021905451918819,0.530015392508979,0.27225270351710473,-0.010242029209518949
"(0.7, 0.75]",2101,0.7250925749643027,0.5042899021410022,0.5335554497858163,0.3602538544409352,-0.004223178707057045
"(0.75, 0.8]",1948,0.7748187885010267,0.5069682804162128,0.5220739219712526,0.44670785045451955,-0.029736272573676892
"(0.8, 0.85]",1690,0.8243662721893492,0.5085493249009797,0.5159763313609468,0.5335140516950484,-0.04513821874483901
"(0.85, 0.9]",1596,0.8747938596491228,0.5092477800030301,0.5288220551378446,0.6233097397617527,-0.025410196984240907
"(0.9, 0.95]",1270,0.9243893700787402,0.5111557874059924,0.5330708661417323,0.7082692645749309,-0.01849882024041515
"(0.95, 1.0]",1055,0.9760236966824644,0.507196124458232,0.5488151658767773,0.8123959947594009,0.015582333518676257
